X,Y,Index_,event_unique_id,Division,occurrencedate,reporteddate,location_type,premises_type,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,cleared,mci_category,Hood_ID,Neighbourhood,Longitude,Latitude,ObjectId
-8876699.202,5426074.585,99982,GO-201773301,NSA,2017/01/13 05:00:00+00,2017/01/13 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1450,120,Discharge Firearm With Intent,2017,January,13,13,Friday    ,8,2017,January,13,13,Friday    ,8,NO,Assault,NSA,NSA,-79.74074566,43.74506366,99092
0,0,99983,GO-201775255,NSA,2016/03/12 05:00:00+00,2017/01/13 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2017,January,13,13,Friday    ,13,2016,March,12,72,Saturday  ,12,YES,Assault,NSA,NSA,0,0,99093
0,0,99984,GO-201771019,NSA,2016/12/17 05:00:00+00,2017/01/13 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2017,January,13,13,Friday    ,20,2016,December,17,352,Saturday  ,22,NO,Assault,NSA,NSA,0,0,99094
0,0,99704,GO-201757584,NSA,2017/01/10 05:00:00+00,2017/01/10 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,2017,January,10,10,Tuesday   ,16,2017,January,10,10,Tuesday   ,15,NO,Assault,NSA,NSA,0,0,99127
0,0,99391,GO-201733941,NSA,2015/06/11 04:00:00+00,2017/01/06 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2017,January,6,6,Friday    ,15,2015,June,11,162,Thursday  ,12,NO,Assault,NSA,NSA,0,0,99218
0,0,99393,GO-201733957,NSA,2017/01/06 05:00:00+00,2017/01/06 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,2017,January,6,6,Friday    ,16,2017,January,6,6,Friday    ,15,NO,Break and Enter,NSA,NSA,0,0,99220
0,0,99009,GO-20173423,NSA,2017/01/01 05:00:00+00,2017/01/01 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2017,January,1,1,Sunday    ,14,2017,January,1,1,Sunday    ,4,NO,Assault,NSA,NSA,0,0,99364
-8818649.298,5449756.622,99885,GO-201771118,NSA,2017/01/12 05:00:00+00,2017/01/12 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2017,January,12,12,Thursday  ,18,2017,January,12,12,Thursday  ,12,NO,Assault,NSA,NSA,-79.2192745,43.89855428,99454
0,0,99887,GO-201772176,NSA,2017/01/12 05:00:00+00,2017/01/12 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,100,Robbery With Weapon,2017,January,12,12,Thursday  ,20,2017,January,12,12,Thursday  ,18,YES,Robbery,NSA,NSA,0,0,99456
-8870032.245,5403583.218,99726,GO-201761422,NSA,2015/12/18 05:00:00+00,2017/01/11 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,1610,110,Robbery - Financial Institute,2017,January,11,11,Wednesday ,8,2015,December,18,352,Friday    ,18,YES,Robbery,NSA,NSA,-79.68085536,43.59892483,99520
-8852504.637,5454579.503,99729,GO-201761446,NSA,2016/02/18 05:00:00+00,2017/01/11 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,1610,110,Robbery - Financial Institute,2017,January,11,11,Wednesday ,9,2016,February,18,49,Thursday  ,17,YES,Robbery,NSA,NSA,-79.52340218,43.9297645,99523
0,0,99792,GO-201761925,NSA,2016/03/04 05:00:00+00,2017/01/11 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,1610,110,Robbery - Financial Institute,2017,January,11,11,Wednesday ,10,2016,March,4,64,Friday    ,14,YES,Robbery,NSA,NSA,0,0,99586
0,0,99793,GO-201764179,NSA,2017/01/11 05:00:00+00,2017/01/11 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1480,100,Assault - Resist/ Prevent Seiz,2017,January,11,11,Wednesday ,15,2017,January,11,11,Wednesday ,15,NO,Assault,NSA,NSA,0,0,99587
-8864931.18,5402773.417,99122,GO-201713763,NSA,2016/12/31 05:00:00+00,2017/01/03 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2017,January,3,3,Tuesday   ,13,2016,December,31,366,Saturday  ,12,YES,Assault,NSA,NSA,-79.63503172,43.59365647,99697
0,0,99247,GO-201718666,NSA,2017/01/04 05:00:00+00,2017/01/04 05:00:00+00,Convenience Stores,Commercial,1420,100,Assault With Weapon,2017,January,4,4,Wednesday ,8,2017,January,4,4,Wednesday ,8,YES,Assault,NSA,NSA,0,0,99725
0,0,99248,GO-201718666,NSA,2017/01/04 05:00:00+00,2017/01/04 05:00:00+00,Convenience Stores,Commercial,1480,100,Assault - Resist/ Prevent Seiz,2017,January,4,4,Wednesday ,8,2017,January,4,4,Wednesday ,8,YES,Assault,NSA,NSA,0,0,99726
-8851406.301,5433398.099,99260,GO-201724129,NSA,2016/12/28 05:00:00+00,2017/01/05 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1610,210,Robbery - Business,2017,January,5,5,Thursday  ,3,2016,December,28,363,Wednesday ,21,YES,Robbery,NSA,NSA,-79.51353566,43.79257177,99738
-8851771.879,5433284.57,99035,GO-20176570,NSA,2017/01/01 05:00:00+00,2017/01/02 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,2017,January,2,2,Monday    ,8,2017,January,1,1,Sunday    ,20,NO,Assault,NSA,NSA,-79.5168197,43.79183559,99864
0,0,100863,GO-2017141355,NSA,2016/12/01 05:00:00+00,2017/01/23 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2017,January,23,23,Monday    ,17,2016,December,1,336,Thursday  ,12,YES,Assault,NSA,NSA,0,0,100068
0,0,100130,GO-201785901,NSA,2017/01/15 05:00:00+00,2017/01/15 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,180,Robbery - Swarming,2017,January,15,15,Sunday    ,1,2017,January,15,15,Sunday    ,1,NO,Robbery,NSA,NSA,0,0,100261
0,0,100131,GO-201785901,NSA,2017/01/15 05:00:00+00,2017/01/15 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,180,Robbery - Swarming,2017,January,15,15,Sunday    ,1,2017,January,15,15,Sunday    ,1,NO,Robbery,NSA,NSA,0,0,100262
0,0,100132,GO-201785901,NSA,2017/01/15 05:00:00+00,2017/01/15 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,180,Robbery - Swarming,2017,January,15,15,Sunday    ,1,2017,January,15,15,Sunday    ,1,NO,Robbery,NSA,NSA,0,0,100263
0,0,100133,GO-201785901,NSA,2017/01/15 05:00:00+00,2017/01/15 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,180,Robbery - Swarming,2017,January,15,15,Sunday    ,1,2017,January,15,15,Sunday    ,1,NO,Robbery,NSA,NSA,0,0,100264
-8860575.439,5399475.307,100168,GO-201794535,NSA,2017/01/08 05:00:00+00,2017/01/16 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2017,January,16,16,Monday    ,13,2017,January,8,8,Sunday    ,0,YES,Assault,NSA,NSA,-79.59590343,43.57219503,100299
-8843382.133,5448373.95,100030,GO-201783094,NSA,2017/01/12 05:00:00+00,2017/01/14 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1420,100,Assault With Weapon,2017,January,14,14,Saturday  ,16,2017,January,12,12,Thursday  ,23,YES,Assault,NSA,NSA,-79.44145333,43.8896036,100371
-8838794.489,5420111.411,100714,GO-2017133232,NSA,2017/01/22 05:00:00+00,2017/01/22 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2017,January,22,22,Sunday    ,10,2017,January,22,22,Sunday    ,10,NO,Assault,100,Yonge-Eglinton,-79.40024183,43.70635229,100454
-8841699.41,5434022.882,100760,GO-2017134914,NSA,2017/01/22 05:00:00+00,2017/01/22 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,150,Robbery - Purse Snatch,2017,January,22,22,Sunday    ,16,2017,January,22,22,Sunday    ,16,YES,Robbery,NSA,NSA,-79.42633718,43.79662303,100503
-8862035.836,5399485.621,100666,GO-2017131754,NSA,2017/01/22 05:00:00+00,2017/01/22 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,2017,January,22,22,Sunday    ,1,2017,January,22,22,Sunday    ,1,YES,Assault,NSA,NSA,-79.6090224,43.57226216,100597
-8860317.708,5414242.945,100931,GO-2017149425,NSA,2017/01/24 05:00:00+00,2017/01/24 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2017,January,24,24,Tuesday   ,18,2017,January,24,24,Tuesday   ,12,YES,Assault,NSA,NSA,-79.59358819,43.66823132,100731
-8877603.654,5425131.122,100986,GO-2017152105,NSA,2017/01/24 05:00:00+00,2017/01/25 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2017,January,25,25,Wednesday ,6,2017,January,24,24,Tuesday   ,12,NO,Assault,NSA,NSA,-79.74887049,43.73894061,100786
0,0,100479,GO-2017117899,NSA,2017/01/14 05:00:00+00,2017/01/19 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2017,January,19,19,Thursday  ,20,2017,January,14,14,Saturday  ,3,NO,Assault,NSA,NSA,0,0,100879
0,0,100235,GO-201793696,NSA,1972/01/01 05:00:00+00,2017/01/16 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1420,100,Assault With Weapon,2017,January,16,16,Monday    ,10,,,,,,0,YES,Assault,NSA,NSA,0,0,100935
0,0,101980,GO-2017217192,NSA,2017/02/03 05:00:00+00,2017/02/04 05:00:00+00,Bar / Restaurant,Commercial,1430,100,Assault,2017,February,4,35,Saturday  ,4,2017,February,3,34,Friday    ,0,NO,Assault,NSA,NSA,0,0,101084
0,0,101984,GO-2017218442,NSA,2017/01/27 05:00:00+00,2017/02/04 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2017,February,4,35,Saturday  ,11,2017,January,27,27,Friday    ,16,NO,Assault,NSA,NSA,0,0,101088
-8849070.762,5481797.799,101185,GO-2017168557,NSA,2017/01/25 05:00:00+00,2017/01/27 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,2017,January,27,27,Friday    ,13,2017,January,25,25,Wednesday ,21,NO,Assault,NSA,NSA,-79.49255516,44.10559486,101190
0,0,101501,GO-2017188551,NSA,2017/01/30 05:00:00+00,2017/01/30 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1420,100,Assault With Weapon,2017,January,30,30,Monday    ,21,2017,January,30,30,Monday    ,15,NO,Assault,NSA,NSA,0,0,101206
0,0,101503,GO-2017995775,NSA,2017/01/30 05:00:00+00,2017/01/30 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,1610,110,Robbery - Financial Institute,2017,January,30,30,Monday    ,13,2017,January,30,30,Monday    ,9,YES,Robbery,NSA,NSA,0,0,101232
-8759891.808,5452493.492,101729,GO-2017206084,NSA,2017/01/01 05:00:00+00,2017/02/02 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2017,February,2,33,Thursday  ,12,2017,January,1,1,Sunday    ,0,YES,Assault,NSA,NSA,-78.69144698,43.91626734,101278
0,0,101506,GO-2017186667,NSA,2017/01/29 05:00:00+00,2017/01/30 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,2017,January,30,30,Monday    ,14,2017,January,29,29,Sunday    ,10,NO,Auto Theft,NSA,NSA,0,0,101353
0,0,101223,GO-2017169200,NSA,2017/01/27 05:00:00+00,2017/01/27 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2130,211,Theft Over - Distraction,2017,January,27,27,Friday    ,15,2017,January,27,27,Friday    ,15,NO,Theft Over,NSA,NSA,0,0,101603
0,0,101599,GO-2017194935,NSA,2017/01/31 05:00:00+00,2017/01/31 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,2017,January,31,31,Tuesday   ,17,2017,January,31,31,Tuesday   ,17,NO,Assault,NSA,NSA,0,0,101774
-8862149.708,5400031.862,101648,GO-2017199646,NSA,2017/02/01 05:00:00+00,2017/02/01 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,220,B&E W'Intent,2017,February,1,32,Wednesday ,12,2017,February,1,32,Wednesday ,12,YES,Break and Enter,NSA,NSA,-79.61004533,43.57581718,101892
0,0,101896,GO-2017212274,NSA,2000/01/01 05:00:00+00,2017/02/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,110,Assault - Force/Thrt/Impede,2017,February,3,34,Friday    ,11,2000,January,1,1,Saturday  ,0,NO,Assault,NSA,NSA,0,0,101996
0,0,102149,GO-2017231021,NSA,2017/02/06 05:00:00+00,2017/02/06 05:00:00+00,Ttc Bus,Transit,1430,100,Assault,2017,February,6,37,Monday    ,14,2017,February,6,37,Monday    ,14,YES,Assault,NSA,NSA,0,0,102051
0,0,102150,GO-2017231848,NSA,2017/01/30 05:00:00+00,2017/02/06 05:00:00+00,Universities / Colleges,Educational,2120,200,B&E,2017,February,6,37,Monday    ,17,2017,January,30,30,Monday    ,6,NO,Break and Enter,NSA,NSA,0,0,102052
0,0,102405,GO-2017247148,NSA,2017/02/08 05:00:00+00,2017/02/09 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,180,Robbery - Swarming,2017,February,9,40,Thursday  ,1,2017,February,8,39,Wednesday ,22,NO,Robbery,NSA,NSA,0,0,102240
0,0,102335,GO-2017245950,NSA,2017/02/08 05:00:00+00,2017/02/08 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2017,February,8,39,Wednesday ,19,2017,February,8,39,Wednesday ,18,NO,Assault,NSA,NSA,0,0,102279
-8778092.638,5456118.456,102374,GO-2017249663,NSA,2016/12/01 05:00:00+00,2017/02/09 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2017,February,9,40,Thursday  ,11,2016,December,1,336,Thursday  ,0,NO,Assault,NSA,NSA,-78.85494782,43.93972005,102318
-8778092.638,5456118.456,102375,GO-2017249663,NSA,2016/12/01 05:00:00+00,2017/02/09 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2017,February,9,40,Thursday  ,11,2016,December,1,336,Thursday  ,0,NO,Assault,NSA,NSA,-78.85494782,43.93972005,102319
-8778092.638,5456118.456,102376,GO-2017249663,NSA,2016/12/01 05:00:00+00,2017/02/09 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2017,February,9,40,Thursday  ,11,2016,December,1,336,Thursday  ,0,NO,Assault,NSA,NSA,-78.85494782,43.93972005,102320
0,0,102063,GO-2017224369,NSA,2017/02/02 05:00:00+00,2017/02/05 05:00:00+00,Schools During Supervised Activity,Educational,1610,200,Robbery - Mugging,2017,February,5,36,Sunday    ,12,2017,February,2,33,Thursday  ,12,NO,Robbery,NSA,NSA,0,0,102456
0,0,102849,GO-2017278019,NSA,2017/02/14 05:00:00+00,2017/02/14 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,2017,February,14,45,Tuesday   ,6,2017,February,14,45,Tuesday   ,5,YES,Theft Over,NSA,NSA,0,0,102538
0,0,102850,GO-2017279624,NSA,2017/02/14 05:00:00+00,2017/02/14 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,2120,200,B&E,2017,February,14,45,Tuesday   ,10,2017,February,14,45,Tuesday   ,5,NO,Break and Enter,NSA,NSA,0,0,102539
0,0,102851,GO-2017280812,NSA,2017/02/12 05:00:00+00,2017/02/14 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,2120,200,B&E,2017,February,14,45,Tuesday   ,10,2017,February,12,43,Sunday    ,21,NO,Break and Enter,NSA,NSA,0,0,102540
0,0,102852,GO-2017280816,NSA,2017/02/14 05:00:00+00,2017/02/14 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,2120,200,B&E,2017,February,14,45,Tuesday   ,10,2017,February,14,45,Tuesday   ,5,NO,Break and Enter,NSA,NSA,0,0,102541
0,0,102573,GO-2017260460,NSA,2017/02/11 05:00:00+00,2017/02/11 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1610,220,Robbery - Other,2017,February,11,42,Saturday  ,2,2017,February,11,42,Saturday  ,1,NO,Robbery,NSA,NSA,0,0,102646
-8838615.948,5420397.631,102789,GO-2017280969,NSA,2017/02/06 05:00:00+00,2017/02/14 05:00:00+00,Unknown,Other,2130,210,Theft Over,2017,February,14,45,Tuesday   ,14,2017,February,6,37,Monday    ,9,YES,Theft Over,NSA,NSA,-79.39863797,43.70821093,102936
0,0,102653,GO-2017266217,NSA,2017/02/12 05:00:00+00,2017/02/12 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,200,Robbery - Mugging,2017,February,12,43,Sunday    ,1,2017,February,12,43,Sunday    ,1,NO,Robbery,NSA,NSA,0,0,102953
